,level_0,COUNTY,YEAR,STATEABBR,STATEID,REGION,JUVF,JUVM,BLACK,BLACKM,BLACKF,HISP,HISPM,HISPF,WHITE,WHITEM,WHITEF,ASIAN,ASIANM,ASIANF,AIAN,AIANM,AIANF,NHOPI,NHPIM,NHPIF,OTHERRACE,ADDRACEM,ADDRACEF,TWORACE,TWORACEM,TWORACEF,RACEDK,UNKRACEM,UNKRACEF,NONCITZ,CUSCTZNM,CUSCTZNF,ADMIS,ADTOTM,ADTOTF,CONFPOP,CUSTOTM,CUSTOTF,RELEASE,RELEASEF,RELEASEM,CONV,CUSUNSM,CUSUNSF,RTIID,CITY,ZIP,CNTYCODE,FELONY,MISD,UNCONV,WEEKN,STATE,CODE,CountyState,Year,StateCode,CountyID,WhiteMales,WhiteFemales,AggrWhites,FreeColoredMales,FreeColoredFemales,AggrColored,MaleSlaves,FemaleSlaves,AggrSlaves,OneSlave,TwoSlaves,ThreeSlaves,FourSlaves,FiveSlaves,SixSlaves,SevenSlaves,EigthSlaves,NineSlaves,TenFourSlaves,FifteenNineSlaves,TwentyNineSlaves,ThirtyNineSlaves,FortyNineSlaves,FiftySixNineSlaves,SeventyNineSlaves,OneHundSlaves,TwoHundSlaves,ThreeHundSlaves,OneThouSlaves,GreaterSlaves,TotalSlaveholders,TotalSlaves,Families,TotalFree
4793,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,12.0,390.0,13061.0,13854.0,26915.0,402.0,463.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5511.0,27780.0
4794,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,14.0,1190.0,7010.0,7080.0,14090.0,28.0,27.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687.0,14145.0
4795,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,21.0,1810.0,5794.0,5351.0,11145.0,19.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.0,11181.0
4796,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,22.0,1610.0,3638.0,3425.0,7063.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,7109.0
4797,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,24.0,1590.0,8361.0,7923.0,16284.0,113.0,110.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3137.0,16507.0
4798,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,31.0,1750.0,1072.0,940.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,2012.0
4799,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,42.0,1390.0,3194.0,2763.0,5957.0,0.0,0.0,0.0,3161.0,3170.0,6331.0,89.0,60.0,45.0,43.0,34.0,32.0,22.0,34.0,15.0,90.0,51.0,40.0,19.0,12.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,607.0,6331.0,995.0,5957.0
4800,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,44.0,2910.0,2183.0,2112.0,4295.0,2.0,0.0,2.0,52.0,64.0,116.0,12.0,4.0,3.0,6.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,116.0,744.0,4297.0
4801,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,45.0,1110.0,3505.0,3136.0,6641.0,2.0,1.0,3.0,1827.0,1918.0,3745.0,78.0,55.0,39.0,31.0,22.0,23.0,12.0,16.0,22.0,52.0,28.0,32.0,14.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,3745.0,1116.0,6644.0
4802,UNION,,2015,LA,19,NA,0,0,9.0,NA,NA,110.0,NA,NA,203.0,NA,NA,3.0,NA,NA,3.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,,NA,NA,7862.0,NA,NA,328.0,NA,NA,7396.0,2137,5259,45.0,NA,NA,10957072,Farmerville             ,71241     ,22111,86.0,242.0,283,,LOUISIANA,JAIL,C,860.0,47.0,1790.0,4449.0,4454.0,8903.0,27.0,26.0,53.0,1106.0,1140.0,2246.0,93.0,52.0,49.0,40.0,20.0,20.0,12.0,19.0,8.0,39.0,20.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,2246.0,1679.0,8956.0
